City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
113,Nouadhibou,MR,20.931,-17.0347,69.8,40,0,17.27,clear sky
114,Port Lincoln,AU,-34.7333,135.8667,58.93,55,60,10.11,broken clouds
115,Namie,JP,37.4833,141.0,51.01,65,100,13.31,light rain
116,Chachapoyas,PE,-6.2317,-77.869,58.93,95,99,1.7,light rain
117,Camabatela,AO,-8.1881,15.375,63.01,97,34,1.1,scattered clouds
118,Kindersley,CA,51.4668,-109.1682,37.4,75,20,9.22,few clouds
119,Erzin,TR,36.9559,36.2,55.99,68,67,2.26,broken clouds
120,Uray,RU,60.1247,64.7758,10.0,91,0,9.86,clear sky
121,Kiunga,PG,-6.1219,141.2906,74.68,98,100,0.47,moderate rain
122,Waipawa,NZ,-41.4122,175.5153,66.2,68,0,23.02,clear sky
123,Puerto Ayora,EC,-0.7393,-90.3518,82.4,74,40,6.91,light rain
124,Sibolga,ID,1.7427,98.7792,75.56,90,100,4.38,overcast clouds
125,Kortkeros,RU,61.8106,51.5806,24.8,58,90,15.66,overcast clouds
