City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
583,Margherita,IN,73.4,mist,27.2833,95.6833,Dehing Guest House
590,Bac Lieu,VN,85.26,broken clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
593,Waipawa,NZ,68.0,few clouds,-41.4122,175.5153,Tora Coastal Walk
594,Tual,ID,83.55,broken clouds,-5.6667,132.75,Grand Vilia Hotel
595,Moerai,PF,80.67,broken clouds,-22.4333,-151.3333,Le Manotel
596,Abonnema,NG,80.49,overcast clouds,4.7084,6.7931,Corper's Lodge Obonoma
604,Bago,MM,86.0,few clouds,17.3367,96.4797,Jade Garden
605,Paysandu,UY,69.01,clear sky,-32.3214,-58.0756,Gran Hotel Paysandú
606,Bundaberg,AU,84.2,broken clouds,-24.85,152.35,Takalvan Motel
610,Nuevitas,CU,68.0,clear sky,21.5453,-77.2644,Hotel Caonaba
614,Mayumba,GA,79.7,light rain,-3.432,10.6554,LIKWALE LODGE
615,Dondo,MZ,77.0,light rain,-19.6094,34.7431,Arco Iris
620,Nioaque,BR,74.82,few clouds,-21.1353,-55.83,Nioaque Novo Hotel
623,Asosa,ET,67.66,scattered clouds,10.0667,34.5333,Blendana Hotel Assosa
625,La Orilla,MX,71.33,clear sky,17.9833,-102.2333,Baymont by Wyndham Lazaro Cardenas
626,Malakal,SS,80.37,broken clouds,9.5334,31.6605,Nile Palace Hotel
627,Zirandaro,MX,80.06,clear sky,18.45,-100.9833,Hotel Pineda
628,Sargur,IN,77.0,scattered clouds,11.9833,76.4167,VMH STAFF QUARTERS
633,Mananjary,MG,73.94,light rain,-21.2167,48.3333,Vahiny Lodge
637,Benghazi,LY,60.82,overcast clouds,32.1167,20.0667,Tibesti Hotel
638,Todos Santos,MX,66.99,clear sky,23.45,-110.2167,Hotel California Todos Santos
641,Fort Wellington,GY,76.42,broken clouds,6.4,-57.6,TE'AMO Entertainment Park
642,Kaohsiung,TW,80.6,haze,22.6163,120.3133,御宿商旅-中山館
645,Tecpan,GT,62.6,few clouds,14.7623,-90.9947,San Ricardo Restaurante y Hotel
646,Atar,MR,63.73,clear sky,20.5169,-13.0499,Oumou Elghoura
651,Bull Savanna,JM,71.46,clear sky,17.8868,-77.5902,Big Red's
652,Boa Vista,BR,77.0,light rain,2.8197,-60.6733,Aipana Plaza Hotel
653,Teahupoo,PF,87.8,scattered clouds,-17.8333,-149.2667,Vanira Lodge
654,Flinders,AU,62.01,light rain,-34.5833,150.8552,Shellharbour Resort & Conference Centre
655,Mkushi,ZM,63.59,light rain,-13.6202,29.3939,HARVEST Inn Mkushi
656,Rosario,AR,73.4,clear sky,-32.9468,-60.6393,Holiday Inn Rosario
660,Mampong,GH,71.28,light rain,7.0627,-1.4001,Adom Upscale Hotel
